#Wavelength (Angstroms)	fnu ergs/s/cm^2/Hz
#redshifted
3600	2.75963986641528e-28
3601.5	2.73938315506987e-28
3603	2.71908981496026e-28
3604.5	2.69875982265891e-28
3606	2.67839315491827e-28
3607.5	2.65798978926287e-28
3609	2.63754970633572e-28
3610.5	2.61707289863308e-28
3612	2.59655940102248e-28
3613.5	2.57600939071568e-28
3615	2.55542349395342e-28
3616.5	2.53320334302317e-28
3618	2.51095224388228e-28
3619.5	2.48868538872957e-28
3621	2.46644111223863e-28
3622.5	2.44430996694853e-28
3624	2.42249193084853e-28
3625.5	2.40139905946472e-28
3627	2.38182131861982e-28
3628.5	2.36516240316055e-28
3630	2.35372153947989e-28
3631.5	2.35094217289866e-28
3633	2.36147797097827e-28
3634.5	2.39087153119708e-28
3636	2.4446530870867e-28
3637.5	2.52679737042684e-28
3639	2.63773977404735e-28
3640.5	2.7724821870389e-28
3642	2.91956224559453e-28
3643.5	3.06163341589727e-28
3645	3.17800042954253e-28
3646.5	3.31368379506098e-28
3648	3.38936413674065e-28
3649.5	3.39963543628493e-28
3651	3.34959799997607e-28
3652.5	3.25351843523129e-28
3654	3.13121419003328e-28
3655.5	3.00342273404052e-28
3657	2.88763655957347e-28
3658.5	2.79551111621289e-28
3660	2.73222852925545e-28
3661.5	2.69749012650281e-28
3663	2.68739676577168e-28
3664.5	2.69643926625547e-28
3666	2.71905916099928e-28
3667.5	2.75056921402594e-28
3669	2.78748951877388e-28
3670.5	2.82748991068284e-28
3672	2.86914420616925e-28
3673.5	2.9116479131535e-28
3675	2.95458048208483e-28
3676.5	2.98684713348934e-28
3678	3.01922755853665e-28
3679.5	3.0516823955942e-28
3681	3.08419601782973e-28
3682.5	3.11676261830107e-28
3684	3.14938018369573e-28
3685.5	3.1820480717092e-28
3687	3.21476610424281e-28
3688.5	3.24753425063152e-28
3690	3.28035252417831e-28
3691.5	3.31322095050869e-28
3693	3.34613955849605e-28
3694.5	3.37910837781934e-28
3696	3.41212743834565e-28
3697.5	3.44519676998343e-28
3699	3.47831640264972e-28
3700.5	3.51148636626323e-28
3702	3.544706690743e-28
3703.5	3.5779774060081e-28
3705	3.61129854197761e-28
3706.5	3.61905737257281e-28
3708	3.62682521395962e-28
3709.5	3.63460207088837e-28
3711	3.64238794810935e-28
3712.5	3.65018285037288e-28
3714	3.65798678242929e-28
3715.5	3.66579974902888e-28
3717	3.67362175492196e-28
3718.5	3.68145280485886e-28
3720	3.68929290358988e-28
3721.5	3.69714205586534e-28
3723	3.70500026643555e-28
3724.5	3.71286754005083e-28
3726	3.72074388146149e-28
3727.5	3.72862929541785e-28
3729	3.73652378667021e-28
3730.5	3.7444273599689e-28
3732	3.75234002006422e-28
3733.5	3.76026177170649e-28
3735	3.76819261964603e-28
3736.5	3.76448154217727e-28
3738	3.76076085775637e-28
3739.5	3.7570305598677e-28
3741	3.75329064199561e-28
3742.5	3.74954109762446e-28
3744	3.74578192023862e-28
3745.5	3.74201310332244e-28
3747	3.73823464036028e-28
3748.5	3.7344465248365e-28
3750	3.73064875023547e-28
3751.5	3.72684131004153e-28
3753	3.72302419773906e-28
3754.5	3.71919740681241e-28
3756	3.71536093074593e-28
3757.5	3.711514763024e-28
3759	3.70765889713097e-28
3760.5	3.70379332655119e-28
3762	3.69991804476904e-28
3763.5	3.69603304526886e-28
3765	3.69213832153503e-28
3766.5	3.68495573114693e-28
3768	3.67775818041359e-28
3769.5	3.67054565969986e-28
3771	3.6633181593706e-28
3772.5	3.65607566979069e-28
3774	3.64881818132498e-28
3775.5	3.64154568433833e-28
3777	3.6342581691956e-28
3778.5	3.62695562626166e-28
3780	3.61963804590136e-28
3781.5	3.61230541847957e-28
3783	3.60495773436115e-28
3784.5	3.59759498391095e-28
3786	3.59021715749384e-28
3787.5	3.58282424547469e-28
3789	3.57541623821835e-28
3790.5	3.56799312608968e-28
3792	3.56055489945354e-28
3793.5	3.5531015486748e-28
3795	3.54563306411832e-28
3796.5	3.57054458392287e-28
3798	3.59549215818228e-28
3799.5	3.6204758076036e-28
3801	3.64549555289389e-28
3802.5	3.67055141476019e-28
3804	3.69564341390955e-28
3805.5	3.72077157104903e-28
3807	3.74593590688568e-28
3808.5	3.77113644212655e-28
3810	3.79637319747868e-28
3811.5	3.82164619364914e-28
3813	3.84695545134498e-28
3814.5	3.87230099127324e-28
3816	3.89768283414097e-28
3817.5	3.92310100065523e-28
3819	3.94855551152307e-28
3820.5	3.97404638745154e-28
3822	3.99957364914769e-28
3823.5	4.02513731731857e-28
3825	4.05073741267125e-28
3826.5	4.05669437688315e-28
3828	4.06265694581599e-28
3829.5	4.06862512203225e-28
3831	4.07459890809444e-28
3832.5	4.08057830656507e-28
3834	4.08656332000664e-28
3835.5	4.09255395098164e-28
3837	4.0985502020526e-28
3838.5	4.10455207578201e-28
3840	4.11055957473238e-28
3841.5	4.1165727014662e-28
3843	4.12259145854599e-28
3844.5	4.12861584853424e-28
3846	4.13464587399347e-28
3847.5	4.14068153748618e-28
3849	4.14672284157486e-28
3850.5	4.15276978882203e-28
3852	4.15882238179019e-28
3853.5	4.16488062304183e-28
3855	4.17094451513947e-28
3856.5	4.14333112069107e-28
3858	4.11567096760377e-28
3859.5	4.08796402786576e-28
3861	4.06021027346519e-28
3862.5	4.03240967639022e-28
3864	4.00456220862903e-28
3865.5	3.97666784216977e-28
3867	3.94872654900061e-28
3868.5	3.92073830110971e-28
3870	3.89270307048524e-28
3871.5	3.86462082911536e-28
3873	3.83649154898824e-28
3874.5	3.80831520209204e-28
3876	3.78009176041493e-28
3877.5	3.75182119594506e-28
3879	3.72350348067061e-28
3880.5	3.69513858657973e-28
3882	3.6667264856606e-28
3883.5	3.63826714990137e-28
3885	3.60976055129021e-28
3886.5	3.61112420090421e-28
3888	3.61248672741636e-28
3889.5	3.61384812955364e-28
3891	3.61520840604304e-28
3892.5	3.61656755561156e-28
3894	3.61792557698617e-28
3895.5	3.61928246889388e-28
3897	3.62063823006165e-28
3898.5	3.62199285921648e-28
3900	3.62334635508537e-28
3901.5	3.62469871639529e-28
3903	3.62604994187323e-28
3904.5	3.62740003024619e-28
3906	3.62874898024115e-28
3907.5	3.63009679058509e-28
3909	3.63144346000501e-28
3910.5	3.63278898722788e-28
3912	3.63413337098071e-28
3913.5	3.63547660999047e-28
3915	3.63681870298416e-28
3916.5	3.66488242004937e-28
3918	3.69298593514567e-28
3919.5	3.72112927051905e-28
3921	3.74931244841551e-28
3922.5	3.77753549108105e-28
3924	3.80579842076167e-28
3925.5	3.83410125970334e-28
3927	3.86244403015209e-28
3928.5	3.89082675435389e-28
3930	3.91924945455475e-28
3931.5	3.94771215300065e-28
3933	3.9762148719376e-28
3934.5	4.0047576336116e-28
3936	4.03334046026864e-28
3937.5	4.0619633741547e-28
3939	4.0906263975158e-28
3940.5	4.11932955259792e-28
3942	4.14807286164706e-28
3943.5	4.17685634690921e-28
3945	4.20568003063038e-28
3946.5	4.1987270163923e-28
3948	4.19175978106057e-28
3949.5	4.18477831583573e-28
3951	4.17778261191835e-28
3952.5	4.17077266050899e-28
3954	4.16374845280821e-28
3955.5	4.15670998001656e-28
3957	4.14965723333462e-28
3958.5	4.14259020396293e-28
3960	4.13550888310213e-28
3961.5	4.12841326195303e-28
3963	4.12130333171742e-28
3964.5	4.11417908360123e-28
3966	4.10704050882709e-28
3967.5	4.09988759868109e-28
3969	4.09272034467625e-28
3970.5	4.08553873908776e-28
3972	4.07834277659494e-28
3973.5	4.07113245899067e-28
3975	4.06390780778813e-28
3976.5	4.05177993965165e-28
3978	4.03963062893072e-28
3979.5	4.02746034742217e-28
3981	4.0152701524683e-28
3982.5	4.00306223613467e-28
3984	3.99084081226245e-28
3985.5	3.97861337763727e-28
3987	3.96639221865055e-28
3988.5	3.95419574011467e-28
3990	3.94204881612789e-28
3991.5	3.92998106889945e-28
3993	3.91802204577591e-28
3994.5	3.90619296528244e-28
3996	3.89449610975465e-28
3997.5	3.88290470222232e-28
3999	3.87135740500093e-28
4000.5	3.85976143423839e-28
4002	3.84800612808946e-28
4003.5	3.83598503989065e-28
4005	3.8236207307584e-28
4006.5	3.84256375712624e-28
4008	3.86120949842158e-28
4009.5	3.87963429273057e-28
4011	3.89794412233612e-28
4012.5	3.91624985520427e-28
4014	3.93464498655885e-28
